thread_id,customer_tweet_id,brand_reply_id,customer_text,brand_reply_text,customer_created_at,reply_created_at
1779_1778,1779,1778,my PHONE app doesn’t work. Thank you for updating my #iPhone to an #ipod,We want you to be able to make calls on the iPhone. What exactly is going on with the Phone app?,Tue Oct 31 22:04:38 +0000 2017,Tue Oct 31 22:09:26 +0000 2017
1781_1780,1781,1780,why can’t I change ringer volume with the buttons? Whose dumb idea was it to change that and how do they still have a job?,Let us look into that. What device and OS version are you using?,Tue Oct 31 22:27:15 +0000 2017,Tue Oct 31 22:32:25 +0000 2017
1783_1782,1783,1782,if my words even mean a thing to you; I am an iPhone 7 owner and have updated to your latest software and now am having the most dropped calls in history and glitch’s such as apps randomly opening and more ... #iHelp,We want to help. Send us a DM letting us know if you are updated to iOS 11.1 https://t.co/GDrqU22YpT,Tue Oct 31 22:27:45 +0000 2017,Tue Oct 31 22:32:25 +0000 2017
1785_1784,1785,1784,epıl bana yardımcı olur musun telefon internet konusunda çok yakıyo napcaz ?,We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,Tue Oct 31 22:27:34 +0000 2017,Tue Oct 31 22:31:00 +0000 2017
1789_1788,1789,1788,No I had 11.0.3 but now it says 11.1 update so ima go ahead and do that,Please keep us posted afterwards.,Tue Oct 31 21:32:24 +0000 2017,Tue Oct 31 21:46:54 +0000 2017
1791_1790,1791,1790,why won’t my apps fuccin download or update,Apps are important and we want you to get back to enjoying them. Which model do you have? Is iOS 11.1 installed on it?,Tue Oct 31 21:25:20 +0000 2017,Tue Oct 31 21:30:00 +0000 2017
2610_2609,2610,2609,$100 billion says that solves my problem? I’m on 11.0.3 currently. Hold please.,Let us know and we'll continue from there. https://t.co/GDrqU22YpT,Tue Oct 31 22:50:12 +0000 2017,Tue Oct 31 22:58:00 +0000 2017
2613_2611,2613,2611,"Cupertino, we have a problem. . . . .",We'd like to see what we can do to assist. What version of iOS are you currently running? We released iOS 11.1 today.,Tue Oct 31 22:44:41 +0000 2017,Tue Oct 31 22:49:27 +0000 2017
2616_2614,2616,2614,"why is my battery life short? I updated to 11.1, my battery is poor. Wife didn’t she likes her battery life","Let’s work together on this situation. To clarify, did this start after updating to iOS 11.1? Also, which device are you using?",Tue Oct 31 22:48:09 +0000 2017,Tue Oct 31 22:57:34 +0000 2017
2615_2617,2615,2617,"Yes, after the update. I Phone 7",Got it. Does this happen while using any particular App or feature? Let us know via a DM. We’ll keep moving forward from there. https://t.co/GDrqU22YpT,Tue Oct 31 22:58:31 +0000 2017,Tue Oct 31 23:12:31 +0000 2017
2620_2618,2620,2618,watchOs4 made my watch pointless Browsing music on my phone via the watch was 80% reason for buying it now it’s useless.,You should still be able to control Music on your iPhone from the watch. Check out the user guide here: https://t.co/vRQnmrhVHj,Tue Oct 31 22:47:13 +0000 2017,Tue Oct 31 22:56:00 +0000 2017
2619_2621,2619,2621,But this does not show the music stored on my phone like it did in os3. I do not want to store music on my phone.,We certainly want to take a closer look into this issue. Select the following link to join us in a DM and we'll go from there. https://t.co/GDrqU22YpT,Tue Oct 31 23:08:28 +0000 2017,Tue Oct 31 23:21:50 +0000 2017
2624_2622,2624,2622,"It’s been a few days since made me update my phone’s operating system. Now constantly glitching, hmm 🤔 I’m shocked!",Hi there! iOS 11.1 was released earlier today containing some bug fixes. Let's back up and update: https://t.co/80YRnjDFDk,Tue Oct 31 22:49:04 +0000 2017,Tue Oct 31 22:55:32 +0000 2017
2628_2626,2628,2626,Question- my iPhone6 dies very quick (have to charge it 3 times a day) my iPhone5 battery was faulty. Could this be the same?,"We know how important your battery is & we'll be happy to help. Which iOS version are you using? Also, when did this issue begin?",Tue Oct 31 22:50:00 +0000 2017,Tue Oct 31 22:54:53 +0000 2017
2627_2629,2627,2629,iOS 11.1 it’s been getting worse for a few months now,Please meet with us in DM. We'd like to gather some additional details from you. https://t.co/GDrqU22YpT,Tue Oct 31 23:06:41 +0000 2017,Tue Oct 31 23:20:30 +0000 2017
2632_2630,2632,2630,And why is my music NEVER in my control center?!,We're here to help out! Which device is this on and which version of iOS is currently installed?,Tue Oct 31 22:44:52 +0000 2017,Tue Oct 31 22:54:00 +0000 2017
2631_2633,2631,2633,"iPhone 7+, iOS 11.1","Thank you very much! Send us a DM to let us know if your speaker doesn't work on calls, or if other apps are affected as well. https://t.co/GDrqU22YpT",Tue Oct 31 23:16:58 +0000 2017,Tue Oct 31 23:46:00 +0000 2017
2635_2634,2635,2634,"Just updated iOS on iPhone7, now iCloud backup greyed out, cannot be turned on, says “Last Backup Never”",Check out this link: https://t.co/Lr8zUtw9ls Send us a DM if it doesn't help. https://t.co/GDrqU22YpT,Tue Oct 31 22:42:07 +0000 2017,Tue Oct 31 22:53:28 +0000 2017
2638_2636,2638,2636,...cost for sending in for diagnosing a problem if it's out of warranty?,We can help. Let’s start with the following steps to see if we can save you a trip in for service: https://t.co/RqWW0duJ0U,Tue Oct 31 22:45:03 +0000 2017,Tue Oct 31 22:53:28 +0000 2017
2637_2639,2637,2639,"Hi, I plugged an adapter straight into the transformer and it still didn't charger. The charger LED does not light up either.",We certainly want to take a closer look into this. Select the following link to join us in a DM and we'll go from there. https://t.co/GDrqU22YpT,Tue Nov 07 15:19:11 +0000 2017,Tue Nov 07 18:19:00 +0000 2017
2642_2641,2642,2641,still no reliable Bluetooth on my iPhone 8+.,Thanks for reaching out. DM which Bluetooth device you are trying to connect to so we can help. https://t.co/GDrqU22YpT,Tue Oct 31 22:44:01 +0000 2017,Tue Oct 31 22:51:00 +0000 2017
2645_2643,2645,2643,when will the bug in the calendar app be fixed? I upgraded to iOS 11.1 and it still crashes when iOS 11.03,We'd like to help. What is going on with the app?,Tue Oct 31 22:41:02 +0000 2017,Tue Oct 31 22:51:00 +0000 2017
2644_2646,2644,2646,"When you roll the month, it does not appear and hangs",We'd like to take a closer look at this. DM us and we'll go from there. https://t.co/GDrqU22YpT,Wed Nov 01 10:00:05 +0000 2017,Wed Nov 01 13:30:29 +0000 2017
2648_2647,2648,2647,do you have any apps for epilepsy so I can detect my seizures thanks in advance,"Hey, we can provide some guidance. Let's meet in DM and we'll go from there. https://t.co/GDrqU22YpT",Tue Oct 31 22:37:41 +0000 2017,Tue Oct 31 22:50:38 +0000 2017
2650_2649,2650,2649,"really needs to fix this update. My phone has never been slower, for real.",We're here to help with any issues you may having with performance. Let us know the exact iOS version to get started.,Tue Oct 31 22:43:42 +0000 2017,Tue Oct 31 22:50:38 +0000 2017
2654_2653,2654,2653,newest version of iOS and iPhone 7,"Since we just released iOS 11.1 today, can you clarify which exact version you have installed?",Tue Oct 31 21:13:13 +0000 2017,Tue Oct 31 21:19:30 +0000 2017
2656_2655,2656,2655,My iPhone has erased and re-added emails dating back from 2013 til now twice in the past 24 hours. Wth???,"We'll be happy to look into this with you. To clarify, which iPhone model do you have and what's the exact iOS version?",Tue Oct 31 20:02:52 +0000 2017,Tue Oct 31 20:18:00 +0000 2017
2659_2658,2659,2658,Is anyone else having problems with there iPhone 7 saying no service?,We want to help with this. Let's start troubleshooting by trying the steps here: https://t.co/5KootZbxj1,Tue Oct 31 22:41:06 +0000 2017,Tue Oct 31 22:49:00 +0000 2017
2662_2661,2662,2661,So why is this happening I I I,We'd be glad to see what we can do for you. Let's meet up in DM first. Thanks! https://t.co/GDrqU22YpT,Tue Oct 31 22:32:52 +0000 2017,Tue Oct 31 22:49:00 +0000 2017
2666_2664,2666,2664,I keep getting this error message saying “the item can’t be played” and idk how to fix it...,We'd like to look into this with you. Does the song appear to be greyed out?,Tue Oct 31 22:44:20 +0000 2017,Tue Oct 31 22:48:31 +0000 2017
2671_2669,2671,2669,^^check this out,Send us a DM please and we will go from there. https://t.co/GDrqU22YpT,Tue Oct 31 22:41:59 +0000 2017,Tue Oct 31 22:46:26 +0000 2017
2676_2675,2676,2675,HELP ME. I have a problem with my iPhone 7😑,We're happy to help. What seems to be the problem?,Tue Oct 31 22:04:56 +0000 2017,Tue Oct 31 22:07:39 +0000 2017
2678_2677,2678,2677,"Any idea why icons show up like this? I did force reset to no avail. After initial notification display, they show up.","We're here for you. DM us, and we'll look into this together. https://t.co/GDrqU22YpT",Tue Oct 31 22:38:41 +0000 2017,Tue Oct 31 22:45:26 +0000 2017
2680_2679,2680,2679,It’s sorted. Thanks. iOS update needed a change and hard reboot,We're glad to hear that's sorted out for you. Have a great day.,Tue Oct 31 22:39:41 +0000 2017,Tue Oct 31 22:45:26 +0000 2017
2682_2681,2682,2681,ios 11.0.3 on 6s. Cannot adjust alarm volume so waking up all in my house and neighbours despite ringer being set to minimum!,"We'd love to help with your alarm volume. Is the option to ""Change with Buttons"" disabled under Settings > Sounds?",Fri Oct 20 08:39:06 +0000 2017,Fri Oct 20 14:00:13 +0000 2017
2684_2683,2684,2683,live photo keeps turning on in the camera even when it’s set to stay off. Please fix in next update.,"Hey, we can work together to figure out a solution. Send us a DM and we'll continue from there. https://t.co/GDrqU22YpT",Tue Oct 31 22:38:21 +0000 2017,Tue Oct 31 22:45:25 +0000 2017
3761_3760,3761,3760,Listen I’m having issues with my phone so like can you @ me so we can talk,We're here to help. Send us a DM with the issue and we'll follow up from there. https://t.co/GDrqU22YpT,Tue Oct 31 23:04:42 +0000 2017,Tue Oct 31 23:11:32 +0000 2017
3764_3762,3764,3762,not only does my phone keep freezing but when i screenshot things it turns out white... really not liking this iphone 8 plus,Let's look at this together. Are you updated to iOS 11.1?,Tue Oct 31 23:04:59 +0000 2017,Tue Oct 31 23:10:58 +0000 2017
3763_3765,3763,3765,"11.1?? when did that come out lol, i talked to you guys last night and you asked if i was updated to 11.0.3 which i am lol",It was released earlier today. Let's use these steps to update iOS: https://t.co/80YRnjDFDk,Tue Oct 31 23:12:25 +0000 2017,Tue Oct 31 23:20:00 +0000 2017
3767_3766,3767,3766,I’m no expert in battery life but 40% doesn’t go to 7% in 5minutes,"We understand your concerns, and want to help. Which device is this happening on?",Tue Oct 31 22:59:14 +0000 2017,Tue Oct 31 23:09:27 +0000 2017
3770_3768,3770,3768,this is my top bar every time I open messages on my SE after updating to iOS 11.1,Thank you for reaching out to us. Have you tried to restart the device? Let us know to get started.,Tue Oct 31 23:00:56 +0000 2017,Tue Oct 31 23:09:27 +0000 2017
3769_3771,3769,3771,That fixed it thanks,That's great! Enjoy the rest of your day.,Tue Oct 31 23:42:29 +0000 2017,Tue Oct 31 23:47:00 +0000 2017
3773_3772,3773,3772,iOS 11.1 - keyboard lag. 🤨,We'd like to take a look into that with you. Would you please join us in DM to get started? https://t.co/GDrqU22YpT,Tue Oct 31 23:00:36 +0000 2017,Tue Oct 31 23:07:50 +0000 2017
3777_3775,3777,3775,"I've also forced the app to close from the background and reopened, no dice 🎲",Let’s team up on this. How long has this been happening? What version number of iOS are you running? Which iPhone do you have?,Tue Oct 31 22:53:05 +0000 2017,Tue Oct 31 23:00:52 +0000 2017
3776_3778,3776,3778,"still happening, including on iOS 11.2 beta now. any ideas?",Thanks for the update. Go ahead and send us a DM and we'll take it from there. https://t.co/GDrqU22YpT,Wed Nov 01 20:10:26 +0000 2017,Wed Nov 01 20:47:00 +0000 2017
4871_4869,4871,4869,Really considering getting a new kind of phone since my iPhone dies with 90% while using my camera 😤,We want to help! What model of iOS device are you using? Do you have the most recent version of iOS 11.1 downloaded?,Tue Oct 31 23:22:50 +0000 2017,Tue Oct 31 23:27:30 +0000 2017
4870_4872,4870,4872,iPhone 6 and yes it’s got the latest software update,"Thanks for letting us know. We'd like to take a further look into this. Please send us a DM, and we'll continue there. https://t.co/GDrqU22YpT",Wed Nov 01 04:36:30 +0000 2017,Wed Nov 01 12:37:25 +0000 2017
4875_4873,4875,4873,Come on #ios11.1 Same bug as before. Numbers disappear when entering info. Video below. #iosproblems,Let's investigate this together. Does this only occur when using specific apps or website?,Tue Oct 31 23:21:57 +0000 2017,Tue Oct 31 23:27:00 +0000 2017
4877_4876,4877,4876,Restarting does resolve the issue. Thanks.,We're glad to hear that resolved the issue. Don't hesitate to reach out to us if you have any questions. Take care.,Tue Oct 31 22:58:23 +0000 2017,Tue Oct 31 23:24:52 +0000 2017
4879_4878,4879,4878,I can’t download songs. Progress icon keeps spinning. On both data + WiFi. Stream works though. Can’t add songs to playlists.,We want to help. Does restarting help at all? DM us which iOS version you're on and we'll continue support there. https://t.co/GDrqU22YpT,Tue Oct 31 21:36:19 +0000 2017,Tue Oct 31 21:41:00 +0000 2017
4882_4880,4882,4880,tell me why I’I’ve updated my phone twice and I can’t type letter I without getting a letter A and a question mark,We're here for you. What is the exact version of the iOS you're running? Check by tapping Settings > General > About.,Tue Oct 31 23:13:13 +0000 2017,Tue Oct 31 23:24:52 +0000 2017
4890_4887,4890,4887,"whenever I try to see the photos that I’ve just taken my #iphone6 shows me this. I’ve reset it, I’ve restored it... help?",We know how important it is to be able to view your photos. Are you able to see older photos on your iPhone?,Tue Oct 31 23:16:12 +0000 2017,Tue Oct 31 23:23:32 +0000 2017
4889_4891,4889,4891,And the new ones tauntingly pretend they are saved- it’s just when I click on them or try to send them that the grey screen shows,"We appreciate those details. For more help with Photos, please reach out to our Photos experts here: https://t.co/IBIY3vMgPj",Wed Nov 01 09:02:33 +0000 2017,Wed Nov 01 13:28:00 +0000 2017
4893_4892,4893,4892,This “I” shit annoying yo fix this shit,We're here to help. Send us a DM with the iOS version number you're on. We'll follow up there. https://t.co/GDrqU22YpT,Tue Oct 31 23:07:35 +0000 2017,Tue Oct 31 23:23:00 +0000 2017
4896_4894,4896,4894,please make this stop!!!,"Let’s work together on this behavior. How long has this been happening? Also, which device are you using?",Tue Oct 31 23:08:51 +0000 2017,Tue Oct 31 23:22:28 +0000 2017
4897_4898,4897,4898,AFTER I updated my phone.,Does that continue after restarting your iPhone? Do you have any other iOS devices or a Mac computer? Let us know in DM. https://t.co/GDrqU22YpT,Tue Oct 31 23:24:21 +0000 2017,Tue Oct 31 23:32:28 +0000 2017
4901_4899,4901,4899,Please fix the battery issues in Ios 11!,We want to make sure you have a working battery. Have you had a chance to update to the latest 11.1?,Tue Oct 31 23:13:35 +0000 2017,Tue Oct 31 23:21:24 +0000 2017
4900_4902,4900,4902,I have and my battery life has become even worse,Let's look into this further in DM. https://t.co/GDrqU22YpT,Thu Nov 02 07:29:20 +0000 2017,Thu Nov 02 13:58:00 +0000 2017
4906_4904,4906,4904,The ‘Overlapping url over TIME on Free WiFi hotspots’ remains. v11.0.3. Not a WiFi problem; two different hotspots shown.,We'd like to have you backup and update your iPhone to iOS 11.1 and let us know if that helps: https://t.co/ahjigcvFRG,Tue Oct 31 23:06:38 +0000 2017,Tue Oct 31 23:18:26 +0000 2017
4905_4907,4905,4907,I've updated to iOS 11.1 just now. I shall check out these WiFi hotspots tomorrow and later in the week.,Sounds good. Let us know the results in DM and we'll continue working with you there. Thanks again. https://t.co/GDrqU22YpT,Tue Oct 31 23:21:45 +0000 2017,Tue Oct 31 23:34:00 +0000 2017
4909_4908,4909,4908,コレは本当に困る、ゲームも出来なくなったしアップデートしなきゃ良かった´д` ; → 「バッテリーの減りが激しい」という問題に関しても同様）。,We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj.,Tue Oct 31 23:11:05 +0000 2017,Tue Oct 31 23:17:24 +0000 2017
4912_4910,4912,4910,Series1 #Applewatch would consistently get 18 hrs + per charge prior to last update. Now 12-13 hrs max.Died @ gym 2nite. Wtf ?,"We want your Apple Watch to keep up with you at the gym. To begin, which watchOS is installed?",Tue Oct 31 23:09:18 +0000 2017,Tue Oct 31 23:16:27 +0000 2017
4915_4914,4915,4914,Don’t complain a lot about but when battery iphone goes down 50% after using your phone for 30 minutes ..... Problems since update 11,We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance. https://t.co/GDrqU22YpT,Tue Oct 31 22:57:45 +0000 2017,Tue Oct 31 23:15:00 +0000 2017
4917_4916,4917,4916,. why my iPhone keep dying at 30% quit playing games I'm not getting no new damn phone or iPhone x,We'd like to help. What iOS version are you on?,Tue Oct 31 23:03:40 +0000 2017,Tue Oct 31 23:15:00 +0000 2017
5808_5807,5808,5807,Y’all need to fix this now,Thank you for reaching out. We've received your DM and will continue working with you there.,Tue Oct 31 23:27:31 +0000 2017,Tue Oct 31 23:43:32 +0000 2017
5812_5811,5812,5811,just updated my 7 plus to 11.1 but I can’t see the new emojis on my watch. Pls help.,Got it. Have you updated your Apple Watch to 4.1 yet?,Tue Oct 31 21:09:27 +0000 2017,Tue Oct 31 21:17:00 +0000 2017
5816_5815,5816,5815,I <— wtf is going on,We'd be happy to look into this with you more in detail. Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,Tue Oct 31 23:11:02 +0000 2017,Tue Oct 31 23:18:00 +0000 2017
5819_5817,5819,5817,I can’t change lock screen anymore from ‘wallpaper’ in settings. How do I do it now?,We'd be happy to help. Check out this link to for more information: https://t.co/hSnkM7JIIS,Tue Oct 31 23:36:21 +0000 2017,Tue Oct 31 23:42:00 +0000 2017
5821_5820,5821,5820,"Dear this new update sucks ,I have too many problems with my phone now ! Blurry screen , black screen , frozen phone !",Getting the expected performance from your iPhone is very important to us. Let us know the exact iOS version to get started.,Tue Oct 31 23:28:41 +0000 2017,Tue Oct 31 23:41:29 +0000 2017
5823_5822,5823,5822,creates amazing technology..... but talk to text still messes up 90% of what I will it to type..... #fixyourcrap,Let’s work together on this. How long has this been happening? Do you experience similar behavior with Siri?,Tue Oct 31 23:29:37 +0000 2017,Tue Oct 31 23:39:28 +0000 2017
5825_5824,5825,5824,"excuse me, can someone explain to me why when I type an “I” alone I get an A and a question mark???????",We'll be happy to take a look into it with you. Please send us a DM with what version of iOS you have. https://t.co/GDrqU22YpT,Tue Oct 31 23:33:58 +0000 2017,Tue Oct 31 23:38:32 +0000 2017
5829_5827,5829,5827,Heyyy still waiting on a version of iOS 11 that isn’t complete shit — Everyone with any iPhone that isn’t the brand new one,"Thanks for reaching out. If you're having issues, we'd like to assist. DM us and we'll continue there. https://t.co/GDrqU22YpT",Tue Oct 31 23:30:02 +0000 2017,Tue Oct 31 23:38:32 +0000 2017
5831_5830,5831,5830,why does my iphone 6 is redémarrer alone !!!!!,Thanks for getting back to us. We apologize but aren't understanding the issue at hand. Please DM us. https://t.co/GDrqU22YpT,Tue Oct 31 23:31:26 +0000 2017,Tue Oct 31 23:38:00 +0000 2017
5833_5832,5833,5832,"sa fait 1h j’ai ios11.1 et mon tel redemarre seul, explication ?????",We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,Tue Oct 31 23:24:02 +0000 2017,Tue Oct 31 23:30:29 +0000 2017
5835_5834,5835,5834,You dropped an update and I still see boxed question marks. Fix this shit .,We're here to help. Which version of iOS is installed on your device? You'll see this in Settings > General > About.,Tue Oct 31 23:24:52 +0000 2017,Tue Oct 31 23:37:27 +0000 2017
